StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q27,Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context (Monique Davis) - Importance of Topic,[Faculty Session] Setting the Context (Monique Davis) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Focus Areas and Data Overviews (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Importance of Topic,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Planning and Preparation (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",We have a big-picture plan to move forward our School Improvement Plan.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Please provide any other overall feedback on this institute.,"At this point, how would you rate the overall quality of the Data Wise Workshop?","At this point, to what extent did you find this program professionally useful?","At this point, how much do you intend to modify your professional practice, based on your experience in this program?","How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2020-01-08 18:48:25,2020-01-08 18:59:32,IP Address,198.206.25.64,100,666,True,2020-01-08 18:59:32,R_1DpaPsLHFgISgZD,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Giving time to reflect and practice,Logisitics of the room.  Room temperature was much better on Day 2.  It was very hard to have team conversations.,Completely Satisfied,Many teams realized that their focus has been too broad.,People that were not in the Day 1 session but joined on Day 2 tended to derail discussions due to their lack of knowledge regarding the process.,Completely Satisfied,Completely Satisfied,"Practice, practice, practice",We will need more practice.  I look forward to the coaching of this area.,Completely Satisfied,Team embrace the time they were given,Nothing,Somewhat Agree,Strongly Agree,"Data support, but more importantly timely support for things that we don't anticipate at this time.",A,E,,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,
2020-01-08 18:47:25,2020-01-08 19:00:12,IP Address,198.206.25.64,100,767,True,2020-01-08 19:00:12,R_2zDcr5ANmUlyMY1,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,insightful and very applicable,,Completely Satisfied,gave us time to dive deep into our own issues,,Completely Satisfied,Completely Satisfied,great to be able to actually go through the process,,Completely Satisfied,productive and facilitator's were very helpful,,Strongly Agree,Strongly Agree,running our priority team meetings (agenda etc)," Intentional Collaboration",evidence,so helpful,Excellent,A Great Deal,A Little Bit,Completely Satisfied,
2020-01-08 19:00:16,2020-01-08 19:00:50,IP Address,198.206.25.25,100,33,True,2020-01-08 19:00:50,R_3iyRRMzvNGe5Nbt,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree,,,,,Very Good,Moderately,Quite A Bit,Moderately Satisfied,
2020-01-08 18:57:12,2020-01-08 19:02:22,IP Address,198.206.25.64,100,309,True,2020-01-08 19:02:23,R_3RfoIpfC5WBGth0,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Great clarification of technical and adaptive,,Completely Satisfied,Great group collaboration of data availability sources,,Completely Satisfied,Completely Satisfied,Digging for data sources,,Completely Satisfied,Great collaboration about what are the next steps and how will we address the steps,,Strongly Agree,Strongly Agree,,Shared Commitment,Adjustment,,Excellent,A Great Deal,Moderately,Completely Satisfied,
2020-01-08 18:46:38,2020-01-08 19:06:07,IP Address,198.206.25.25,100,1169,True,2020-01-08 19:06:08,R_2ZQtA7xQyWabzIw,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Reviewing the technical vs. adaptive challenges,N/A,Completely Satisfied,The process of calibration,Bringing student work from our schools to calibrate on for at least one round,Moderately Satisfied,Moderately Satisfied,Discussing our school's data,Bringing problem focused data,Moderately Satisfied,Having time to focus on our school's problem of practice and plan for the data overview meeting,N/A,Strongly Agree,Strongly Agree,Helping students and parents understand data,E,E,"Great presenters! ",Very Good,Moderately,Moderately,Completely Satisfied,
2020-01-08 18:48:49,2020-01-08 19:07:07,IP Address,198.206.25.91,100,1097,True,2020-01-08 19:07:07,R_2wAlGD1ZQBo32JG,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,I need to be able to differentiate between INformation and TRANSformation.  I know the difference between the 2 and the anecdotal story enhanced my understanding.,Maybe a little bit of hint as to how this would come into play in today's work.,Completely Satisfied,I like how the Data Wise process is set up and I like that we were given a road map to completing the tasks as well as the time to do it.,The problems with my group do not relate to the presenter's instructions and planned activities.  My group crashed and burned during this session.  We did not get much done in terms of assigned tasks and the tone of the conversation seemed unpleasant.,Moderately Satisfied,,It gave the chance to apply what we learned.,"The activity was fine, but I would prefer a choice of content areas.  It took most of my time to understand what I was reading in the rubric so it was hard to add anything of value to my group's discussion.",Completely Satisfied,Our group regrouped by venting and looking at the norms again.  It helped us be more productive.,nothing,Somewhat Agree,Strongly Agree,Probably with displaying data so that it tells the story yet causes one to ask questions about it.  How do you strike the right balance?,E,A,"All the presenters have PRESENCE.  Many have good information to share, but only a few can hold my attention for 2 whole days.  I learned a lot about the Data Wise Process, myself and the way I relate to others in a professional setting and I also learned a good bit about the other professionals I work with.",Excellent,A Great Deal,Moderately,Completely Satisfied,unsure
2020-01-08 18:59:40,2020-01-08 19:09:28,IP Address,198.206.25.25,100,587,True,2020-01-08 19:09:28,R_1NCTvuLWOXxy0KA,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Review of information from yesterday and encouragement to push through the work,,Completely Satisfied,This guided the team and helped us select a focus,,Completely Satisfied,Completely Satisfied,This helped us better understand how to best utilize the information in the process.,,Completely Satisfied,Preparing the agenda & engagin in Mock Meeting,,Strongly Agree,Strongly Agree,,,Relentless Focus on Evidence,,Excellent,A Great Deal,Moderately,Completely Satisfied,
2020-01-08 19:43:35,2020-01-08 19:46:53,IP Address,198.206.25.25,100,197,True,2020-01-08 19:46:53,R_2xQ2CeLt3chPE6B,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,I enjoyed working with school teams.,None at this time,Moderately Satisfied,There were some challenges in completing the task in the amount of time given,Data was not completely available/compiled,Moderately Satisfied,Completely Satisfied,See above,None at this time,Completely Satisfied,Team worked well together,N/A,Strongly Agree,Strongly Agree,Narrowing the priority question,A,E,None,Excellent,A Great Deal,A Great Deal,Completely Satisfied,None at this time
2020-01-09 17:56:25,2020-01-09 17:59:02,IP Address,208.53.32.36,100,156,True,2020-01-09 17:59:02,R_11j4NhFmybW0SHs,,,,,40.4405059814453125,-79.99559783935546875,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Somewhat Agree,,"Shared committment to action, assessment, and adjustment","Perhaps E, the relentless focus on evidence",It would be helpful to have all of the hard-copy handouts organized into a single packet for participants - participants got confused with loose materials.,Very Good,Quite A Bit,Quite A Bit,Completely Satisfied,
2020-01-08 18:59:38,2020-01-09 18:06:38,IP Address,198.206.25.25,100,83219,True,2020-01-09 18:06:38,R_1Ano5xSEGwVfGpj,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,The morning was more valuable and the pace was more reasonable.,The afternoon seemed rushed.  Too much...,Moderately Satisfied,We were off to a good start but fell behind in agreeing on the focus area,We needed more time to share our primary data source and articulate a focus area.,Moderately Satisfied,Completely Satisfied,We didn't finish the previous task so this all felt a bit rushed/forced,We didn't get to dig very deep as we were completing the previous task.,Completely Satisfied,We were able to complete most of the work.,Our group just needed more time for some of the tasks.,Somewhat Agree,Neutral,"I am not on the School Improvement Team, so my role is unclear.",Shared commitment to action,"Action, assessment, and adjustment",,Very Good,A Great Deal,Quite A Bit,Completely Satisfied,
