on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build understanding and skills to use Data Wise tools to foster equitable practices at each step of the improvement process.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65""}"
2018-12-03 20:02:15,2018-12-03 20:05:09,IP Address,50.247.240.113,100,173,True,2018-12-03 20:05:09,R_da8aFR7OHat0rYt,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,"Timing and pacing, flow of instruction vs hands on work",Shorter work with compass,Completely Satisfied,Completely Satisfied,"Timing and pacing, flow of instruction vs hands on work",na,Moderately Satisfied,Moderately Satisfied,"Timing and pacing, flow of instruction vs hands on work",na,,"Timing and pacing, hands on work, practice",clearer instructions in terms of what was really expected,,,"Timing and pacing, flow of instruction vs hands on work, real life scenarios",nothing,Somewhat Agree,Somewhat Agree
2018-12-03 20:01:58,2018-12-03 20:05:11,IP Address,50.247.240.113,100,192,True,2018-12-03 20:05:11,R_1pFNOEsDPsVWu19,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"The modeling and going over the overview with appropriate work time. ",Nothing at this time,Completely Satisfied,Completely Satisfied,"Detailed overview again on how things look and suggestions ",Nothing at this time,Completely Satisfied,,The activity,Nothing at this time,Completely Satisfied,The time to just discuss and the agenda was a helpful guide to stay on task,Nothing at this time,Completely Satisfied,,Analyzing data and how there is always going to be errors but how we minimize that is the focus,Nothing at this time,Strongly Agree,Strongly Agree
2018-12-03 20:01:51,2018-12-03 20:05:12,IP Address,50.247.240.113,100,200,True,2018-12-03 20:05:12,R_tMLV8yb7Os8PqiR,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,time of colloboration,,Completely Satisfied,Completely Satisfied,Examples,More discussion of the triangulation of data,Completely Satisfied,Completely Satisfied,Discussion of the compass,People not necessarily being categorized into one area,Completely Satisfied,Practice of a data team,Feedback,Completely Satisfied,Completely Satisfied,Examples,More discussion of validity of data; interconnection,Strongly Agree,Strongly Agree
2018-12-03 20:02:18,2018-12-03 20:05:12,IP Address,50.247.240.113,100,174,True,2018-12-03 20:05:13,R_3fI4mDPJDWpatcU,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,norms role play,a little bit quicker overview,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,Completely Satisfied,compass styles,"more in depth into the compass, planning for the practical application",Completely Satisfied,spending time together,,Completely Satisfied,Completely Satisfied,,more engaged group participants,Strongly Agree,Somewhat Agree
2018-12-03 20:02:06,2018-12-03 20:05:16,IP Address,50.247.240.113,100,189,True,2018-12-03 20:05:16,R_1hL9jvDpUqP9IMO,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Hands on use of time. ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,"I liked The video of the “why”. It was very powerful in illustrating the point. ",,Strongly Agree,Strongly Agree
2018-12-03 20:02:23,2018-12-03 20:05:16,IP Address,50.247.240.113,100,173,True,2018-12-03 20:05:16,R_T5GamzjIx7s7xZL,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,great session,,Completely Satisfied,Completely Satisfied,great session,more real life examples to bring back or data to show staff,,Completely Satisfied,,,Completely Satisfied,enjoyed being able to work collaboratively with my group,"more time ",Completely Satisfied,Completely Satisfied,"very informative ",,Strongly Agree,Strongly Agree
2018-12-03 20:02:31,2018-12-03 20:05:16,IP Address,66.87.125.19,100,165,True,2018-12-03 20:05:17,R_bpyfaNCD8vcGtMZ,,,,,42.3583984375,-71.0597991943359375,anonymous,EN,Completely Satisfied,Completely Satisfied,The time to collaborate with our school level team,Nothing,Moderately Satisfied,Completely Satisfied,It really outlined what we would see and where to go,Nothing,Completely Satisfied,Completely Satisfied,Very informative. Great way to get started,Nothing,Completely Satisfied,Helpful to keep everyone focused,Nothing,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:58,2018-12-03 20:05:19,IP Address,107.77.223.200,100,141,True,2018-12-03 20:05:19,R_2AHFVrhpn1GfC1O,,,,,40.77630615234375,-73.95290374755859375,anonymous,EN,,Completely Satisfied,Collaboration,Nothing,,Completely Satisfied,Use of cases,Nothing,Completely Satisfied,Completely Satisfied,Collaboration,Nothing,Completely Satisfied,"Team talking deltas ",Nothing,Completely Satisfied,Completely Satisfied,Examples,Nothing,Strongly Agree,Strongly Agree
2018-12-03 20:03:19,2018-12-03 20:05:20,IP Address,50.247.240.113,100,120,True,2018-12-03 20:05:20,R_3GxkO9Sk59YnZe9,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Moderately Satisfied,"Variety of speakers, team time",crampt tables,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,time to meet with team,,Completely Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:01,2018-12-03 20:05:25,IP Address,50.247.240.113,100,203,True,2018-12-03 20:05:25,R_2SGNG132vC729QH,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"As you all said, working with our teams to go through the process really made me get a feel for what our meetings will look and feel like ","Not so much a change, but more movement. I am thankful that you guys repeatly told us to take them as we needed so I didn’t felt guilt! ",Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"Your approach to presenting! Pacing and tone kept me engaged and focused ",,Completely Satisfied,"As mentioned, it made me really feel the process ",,Completely Satisfied,Completely Satisfied,"Looking at examples allows me to truly understand the vocabulary and task at hand ",,Strongly Agree,Strongly Agree
